date_id,date_id,Biomass,Grid emission factor,Hard Coal,Hydro,Lignite,Natural Gas,Nuclear,Other,Pumped storage generation,Solar,Conventional,Total electricity demand,Total grid emissions,Wind offshore,Wind onshore,Total Renewables,Total Conventional,Renewable share,Conventional share
2020-01-01T00:00:00,2020-01-01T00:00:00,5.156,423.125,2.193,1.756,9.517,7.904,8.078,3.195,0.315,0,31.202,45.358,18904.236,0.55,6.013,13.475,31.201999999999998,30.16093291850393,69.83906708149607
2020-01-01T01:00:00,2020-01-01T01:00:00,5.137,418.836,2.04,1.755,9.621,7.302,8.083,3.171,0.37,0,30.588,45.515,18629.681,1.17,5.829,13.890999999999998,30.587,31.231170466297947,68.76882953370206
2020-01-01T02:00:00,2020-01-01T02:00:00,5.139,405.507,2.009,1.788,9.628,7.023,8.076,3.147,1.345,0,31.228,46.738,18467.68,1.667,5.721,14.315000000000001,31.227999999999998,31.43183365171377,68.56816634828623
2020-01-01T03:00:00,2020-01-01T03:00:00,5.136,406.55,2.123,1.785,9.701,7.055,8.067,3.178,1.395,0,31.519,46.232,18685.912,2.064,5.459,14.443999999999999,31.519000000000002,31.425276853120987,68.57472314687901
2020-01-01T04:00:00,2020-01-01T04:00:00,5.138,407.388,2.149,1.72,9.754,6.901,8.067,3.196,1.29,0,31.358,46.546,18740.34,2.294,5.491,14.642999999999999,31.357,31.83260869565217,68.16739130434783
2020-01-01T05:00:00,2020-01-01T05:00:00,5.153,406.625,2.217,1.712,9.67,7.003,8.064,3.191,1.283,0,31.429,46.073,18737.694,2.161,5.626,14.652000000000001,31.428,31.796875000000004,68.20312500000001
2020-01-01T06:00:00,2020-01-01T06:00:00,5.168,410.522,2.243,1.731,9.538,7.096,8.07,3.181,0.819,0,30.947,42.961,18637.773,1.944,5.61,14.453,30.947000000000003,31.834801762114534,68.16519823788546
2020-01-01T07:00:00,2020-01-01T07:00:00,5.214,414.752,2.25,1.723,9.523,7.39,8.087,3.185,0.362,0,30.795,41.83,18742.366,2.156,5.301,14.394,30.796999999999997,31.851474851187188,68.14852514881282
2020-01-01T08:00:00,2020-01-01T08:00:00,5.257,421.707,2.291,1.706,10.012,7.547,8.091,3.19,0.116,0.395,31.247,43.244,19380.983,2.285,5.069,14.712,31.247000000000003,32.01114036423769,67.98885963576231
2020-01-01T09:00:00,2020-01-01T09:00:00,5.253,398.387,2.309,1.729,10.175,7.656,8.092,3.178,0.103,3.274,31.512,45.347,19597.409,2.343,5.08,17.679000000000002,31.513,35.938770531793786,64.06122946820621
2020-01-01T10:00:00,2020-01-01T10:00:00,5.231,371.556,2.286,1.771,10.397,7.663,8.044,3.185,0.258,7.133,31.833,49.135,19836.009,2.548,4.87,21.553,31.833,40.372007642453084,59.62799235754692
2020-01-01T11:00:00,2020-01-01T11:00:00,5.208,352.285,2.278,1.76,10.389,7.666,7.81,3.193,0.365,10.227,31.701,52.046,19833.326,2.754,4.65,24.599000000000004,31.700999999999997,43.692717584369454,56.307282415630546
2020-01-01T12:00:00,2020-01-01T12:00:00,5.149,345.801,2.275,1.768,10.543,7.497,7.676,3.189,0.33,11.655,31.51,52.653,19932.704,3.366,4.194,26.131999999999998,31.509999999999998,45.334998785607716,54.665001214392284
2020-01-01T13:00:00,2020-01-01T13:00:00,5.198,343.719,2.244,1.796,10.258,7.47,7.912,3.19,0.305,10.719,31.38,51.084,19584.838,3.622,4.265,25.6,31.378999999999998,44.92883342986013,55.07116657013987
2020-01-01T14:00:00,2020-01-01T14:00:00,5.222,374.441,2.271,1.791,10.984,7.645,8.069,3.19,0.635,7.399,32.795,49.171,20467.031,3.329,4.124,21.865,32.794,40.00256133482135,59.99743866517866
2020-01-01T15:00:00,2020-01-01T15:00:00,5.197,416.241,2.467,1.784,11.319,7.795,8.084,3.189,0.788,2.671,33.641,48.226,21055.352,2.97,4.322,16.944,33.641999999999996,33.4954335191555,66.5045664808445
2020-01-01T16:00:00,2020-01-01T16:00:00,5.201,428.825,2.397,1.769,11.423,8.435,8.083,3.195,0.678,0.129,34.211,50.69,21358.738,2.987,5.511,15.597000000000001,34.211,31.314246707356254,68.68575329264375
2020-01-01T17:00:00,2020-01-01T17:00:00,5.245,410.657,2.448,1.779,11.419,8.51,8.079,3.192,0.962,0,34.611,53.209,21420.918,3.759,6.77,17.552999999999997,34.61000000000001,33.65028851868181,66.34971148131818
2020-01-01T18:00:00,2020-01-01T18:00:00,5.286,390.851,2.292,1.757,11.352,8.641,8.077,3.197,1.409,0,34.969,53.432,21274.519,4.462,7.958,19.463,34.968,35.75719718542742,64.24280281457257
2020-01-01T19:00:00,2020-01-01T19:00:00,5.276,378.39,2.109,1.738,10.94,8.689,8.082,3.204,1.055,0,34.078,53.159,20693.897,4.714,8.884,20.612000000000002,34.079,37.68810224717047,62.31189775282954
2020-01-01T20:00:00,2020-01-01T20:00:00,5.258,381.642,2.093,1.731,11.315,8.648,8.082,3.203,0.895,0,34.236,51.091,21075.367,4.408,9.589,20.986,34.236000000000004,38.00296983086451,61.99703016913549
2020-01-01T21:00:00,2020-01-01T21:00:00,5.245,383.329,2.073,1.737,11.47,8.367,8.067,3.209,0.818,0,34.004,51.649,21129.386,4.026,10.11,21.118,34.004000000000005,38.31138202532564,61.688617974674365
2020-01-01T22:00:00,2020-01-01T22:00:00,5.225,390.563,1.985,1.817,11.479,8.314,8.064,3.204,0.94,0,33.987,49.435,21035.661,3.773,9.057,19.872,33.986,36.89702551153032,63.10297448846968
2020-01-01T23:00:00,2020-01-01T23:00:00,5.166,396.464,1.957,1.722,11.484,7.622,8.061,3.204,0.747,0,33.075,47.161,20757.868,3.828,8.567,19.283,33.075,36.82913785858894,63.17086214141106
2020-01-02T00:00:00,2020-01-02T00:00:00,5.142,389.65,1.811,1.733,11.283,7.291,8.073,3.214,1.187,0,32.859,49.096,20307.98,4.232,8.152,19.259,32.858999999999995,36.95268429333436,63.04731570666564
2020-01-02T01:00:00,2020-01-02T01:00:00,5.118,389.996,1.781,1.748,11.246,7.327,8.087,3.198,1.342,0,32.982,48.035,20229.01,4.624,7.397,18.887,32.981,36.41358833963137,63.586411660368626
2020-01-02T02:00:00,2020-01-02T02:00:00,5.105,387.927,1.788,1.782,11.049,7.326,8.09,3.187,1.242,0,32.682,48.479,19997.391,5.025,6.955,18.867,32.682,36.6001280335215,63.39987196647849
2020-01-02T03:00:00,2020-01-02T03:00:00,5.078,384.055,1.809,1.755,10.528,6.997,8.089,3.179,1.294,0,31.896,48.436,19309.73,5.212,6.337,18.381999999999998,31.896,36.56072238354747,63.43927761645253
2020-01-02T04:00:00,2020-01-02T04:00:00,5.09,364.92,1.861,1.742,9.086,7.309,8.09,3.188,1.173,0,30.707,48.733,17902.418,5.299,6.221,18.352,30.707,37.40801891599911,62.591981084000906
2020-01-02T05:00:00,2020-01-02T05:00:00,5.114,376.624,1.885,1.702,9.66,7.577,8.088,3.197,0.282,0,30.689,47.78,18663.782,5.16,6.89,18.866,30.689,38.07083039047523,61.92916960952477
2020-01-02T06:00:00,2020-01-02T06:00:00,5.116,387.983,2.117,1.714,10.835,8.032,8.014,3.178,0.126,0,32.302,53.416,20299.431,5.4,7.789,20.019,32.302,38.26188337378873,61.73811662621127
2020-01-02T07:00:00,2020-01-02T07:00:00,5.235,384.355,2.325,1.772,11.039,9.214,7.89,3.199,0.354,0,34.02,55.837,21172.094,5.408,8.65,21.065,34.021,38.24020622299677,61.75979377700324
2020-01-02T08:00:00,2020-01-02T08:00:00,5.292,377.642,2.653,1.781,11.328,9.884,8.094,3.187,1.335,0.453,36.481,57.127,22001.416,5.485,8.769,21.78,36.481,37.38349839515285,62.61650160484715
2020-01-02T09:00:00,2020-01-02T09:00:00,5.316,358.929,3.011,1.783,11.35,10.228,8.081,3.182,1.463,3.309,37.314,60.891,22453.133,5.929,8.903,25.240000000000002,37.315000000000005,40.34849332587323,59.65150667412678
2020-01-02T10:00:00,2020-01-02T10:00:00,5.313,342.362,3.224,1.82,11.366,10.298,8.001,3.175,1.776,6.458,37.84,63.265,22670.524,6.091,8.696,28.378,37.839999999999996,42.85541695611466,57.144583043885355
2020-01-02T11:00:00,2020-01-02T11:00:00,5.285,339.923,3.226,1.72,11.377,10.113,8.002,3.17,0.774,8.609,36.662,64.367,22608.493,6.447,7.787,29.848,36.662000000000006,44.87746203578409,55.12253796421591
2020-01-02T12:00:00,2020-01-02T12:00:00,5.244,342.681,3.245,1.737,11.38,10.041,7.997,3.171,0.612,9.07,36.446,64.291,22605.314,6.427,7.041,29.519000000000002,36.446,44.74948836504207,55.250511634957924
2020-01-02T13:00:00,2020-01-02T13:00:00,5.228,351.299,3.375,1.749,11.379,10.016,7.996,3.164,0.629,7.623,36.559,63.544,22699.945,6.407,7.05,28.057000000000002,36.559,43.4211340844373,56.5788659155627
2020-01-02T14:00:00,2020-01-02T14:00:00,5.216,355.071,3.47,1.806,10.75,10.039,8,3.152,0.65,4.811,36.061,62.677,22076.899,6.507,7.776,26.116,36.061,42.00266979751355,57.99733020248645
2020-01-02T15:00:00,2020-01-02T15:00:00,5.234,365.578,3.484,1.772,10.569,10.033,8.019,3.144,0.592,1.477,35.84,62.642,21874.879,6.473,9.039,23.994999999999997,35.840999999999994,40.101276823317065,59.898723176682935
2020-01-02T16:00:00,2020-01-02T16:00:00,5.298,362.145,3.361,1.806,10.564,10.236,8.015,3.145,0.77,0.056,36.091,64.514,21839.208,6.524,10.531,24.215000000000003,36.09100000000001,40.15355022717474,59.84644977282526
2020-01-02T17:00:00,2020-01-02T17:00:00,5.336,346.249,3.236,1.783,10.608,10.343,7.994,3.157,1.312,0,36.651,65.628,21841.597,6.612,12.699,26.43,36.64999999999999,41.8991756499683,58.1008243500317
2020-01-02T18:00:00,2020-01-02T18:00:00,5.337,341.607,3.491,1.818,10.852,10.491,7.926,3.162,1.003,0,36.926,64.515,22390.138,6.742,14.721,28.618,36.925,43.66293883404788,56.33706116595213
2020-01-02T19:00:00,2020-01-02T19:00:00,5.343,342.182,3.547,1.839,11.142,10.386,7.89,3.159,0.314,0,36.438,64.752,22710.851,6.818,15.932,29.932000000000002,36.437999999999995,45.09868916679223,54.90131083320776
2020-01-02T20:00:00,2020-01-02T20:00:00,5.288,336.142,3.211,1.825,11.289,9.438,7.887,3.161,0.54,0,35.526,61.181,22237.599,6.887,16.629,30.629,35.526,46.2988436248205,53.7011563751795
2020-01-02T21:00:00,2020-01-02T21:00:00,5.24,325.534,2.875,1.847,10.935,8.017,7.877,3.156,0.28,0,33.14,59.706,21024.88,6.923,17.436,31.445999999999998,33.14,48.688570278388504,51.3114297216115
2020-01-02T22:00:00,2020-01-02T22:00:00,5.197,319.419,2.747,1.81,10.637,6.911,7.881,3.152,0.188,0,31.517,58.767,20171.976,6.738,17.89,31.635,31.516000000000002,50.094218618865895,49.905781381134105
2020-01-02T23:00:00,2020-01-02T23:00:00,5.156,287.011,2.699,1.792,8.477,5.92,7.876,3.139,0.543,0,28.654,55.691,17365.187,6.773,18.129,31.85,28.654,52.641147692714526,47.35885230728547
2020-01-03T00:00:00,2020-01-03T00:00:00,5.122,274.815,2.627,1.84,8.042,6.142,7.872,3.162,0.831,0,28.677,55.383,16944.807,6.746,19.274,32.982,28.676,53.491842096727105,46.50815790327289
2020-01-03T01:00:00,2020-01-03T01:00:00,5.111,257.005,2.578,1.793,7.4,5.848,7.881,3.136,1.36,0,28.202,55.927,16045.052,6.77,20.555,34.229,28.203,54.82605074320861,45.17394925679138
2020-01-03T02:00:00,2020-01-03T02:00:00,5.105,243.929,2.47,1.833,6.79,5.781,7.872,3.115,1.327,0,27.354,54.712,15223.033,6.71,21.406,35.054,27.354999999999997,56.16818087134868,43.83181912865131
2020-01-03T03:00:00,2020-01-03T03:00:00,5.118,238.363,2.533,1.726,6.551,5.857,7.824,3.107,1.297,0,27.168,55.223,15028.837,6.652,22.386,35.882,27.169,56.909485971673725,43.090514028326275
2020-01-03T04:00:00,2020-01-03T04:00:00,5.077,232.096,2.558,1.769,6.381,6.095,7.731,3.097,1.343,0,27.205,56.628,14936.328,6.64,23.664,37.150000000000006,27.205000000000002,57.72667236422967,42.273327635770336
2020-01-03T05:00:00,2020-01-03T05:00:00,5.105,230.32,2.74,1.829,6.301,6.468,7.719,3.122,1.297,0,27.647,58.051,15185.366,6.629,24.721,38.284,27.647000000000002,58.06676677132153,41.933233228678475
